0, 0+/-0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 0.156409+/-0, 0, 0, 3, 3, 0.590458, 0.0560488, 0, 0, 0, 0, 0, 0, 0, 
2, 0.20558+/-0, 0, 0, 3.64532, 3.64532, 1, 0.114304, 0.01895, 0, 0, 0, 0, 0, 0, 
3, 0.291547+/-0, 0, 0, 3.37438, 3.37438, 1, 0.38244, 0.144876, 0.0235159, 0, 0, 0, 0, 0, 
4, 0.330788+/-0, 0, 0, 3, 3, 1.0265, 0.624658, 0.215714, 0.0522304, 0, 0, 0, 0, 0, 
5, 0.356384+/-0, 0, 0, 3.29123, 3.29123, 1, 0.847931, 0.210265, 0.0626582, 0, 0, 0, 0, 0, 
6, 0.511743+/-0, 0, 0.0329028, 4.63609, 4.63609, 1.84642, 1, 0.596915, 0.225426, 0.0469391, 0, 0, 0, 0, 
7, 0.683952+/-0, 0, 0.261604, 4, 4, 2, 1.25037, 1, 0.884907, 0.29416, 0.0726367, 0, 0, 0, 
8, 0.964816+/-0, 0, 1, 6.57334, 6.57334, 2.11085, 1.98179, 1.34398, 1, 1, 0.360176, 0, 0, 0, 
9, 0.889741+/-0, 0, 0, 6.57334, 6.57334, 2.11085, 1.98179, 1.34398, 1, 1, 0, 0, 0, 0, 
10, 1.05479+/-0, 0, 1, 4.26, 4.26, 2.21894, 2, 1.53625, 1.13987, 1, 0.927735, 0.0152905, 0, 0, 
11, 1.26433+/-0, 0, 1, 4.47038, 4.47038, 2.671, 2, 2, 1.46867, 1, 1, 0.754801, 0.0407426, 0, 
12, 1.11149+/-0, 0, 1, 5, 5, 2.51266, 2, 1.53358, 1.16589, 1, 1, 0.273869, 0, 0, 
13, 1.23189+/-0, 0, 1.06298, 4.25582, 4.25582, 2.53503, 2, 2, 1.42229, 1.11313, 1, 0.553522, 0.0783735, 0, 
14, 1.19766+/-0, 0, 1, 6, 6, 2.71472, 2, 1.88523, 1.21009, 1, 1, 0.38816, 0, 0, 
15, 1.30251+/-0, 0, 1.18025, 4.63963, 4.63963, 2.5574, 2.12683, 2, 1.59252, 1.22989, 1, 0.868324, 0.10207, 0, 
16, 1.38163+/-0, 0, 1.19537, 4.59504, 4.59504, 2.73945, 2, 2, 1.60469, 1.24915, 1, 1, 0.555566, 0, 
17, 1.37301+/-0, 0, 1.19775, 5.22794, 5.22794, 2.82426, 2.03635, 2, 1.65945, 1.22994, 1, 1, 0.31697, 0, 
18, 1.39399+/-0, 0, 1.26795, 4.29933, 4.29933, 2.85801, 2.04136, 2, 1.54872, 1.29818, 1.07802, 1, 0.792439, 0, 
19, 1.42529+/-0, 0, 1.22197, 4.25617, 4.25617, 2.94708, 2.16367, 2, 1.85129, 1.29136, 1, 1, 0.650511, 0, 
20, 1.27776+/-0, 0, 1.071, 4, 4, 2.63022, 2.05953, 2, 1.50608, 1.16466, 1, 0.777868, 0.0713788, 0, 
21, 1.33206+/-0, 0, 1.04806, 5, 5, 2.89106, 2, 2, 1.51423, 1.06097, 1, 0.997808, 0.214798, 0, 
22, 1.49217+/-0, 0, 1.32745, 5.09097, 5.09097, 2.86485, 2.18051, 2, 1.82611, 1.38577, 1.12104, 1, 1, 0, 
23, 1.35875+/-0, 0, 1.04374, 4, 4, 3, 2.19064, 2, 1.49208, 1.10044, 1, 1, 0.295885, 0, 
24, 1.36751+/-0, 0, 1.06084, 5.65561, 5.65561, 3, 2.12288, 2, 1.52721, 1.07404, 1, 1, 0.352029, 0, 
25, 1.40008+/-0, 0, 1.28962, 4.86468, 4.86468, 3, 2.10143, 2, 1.82594, 1.2985, 1, 1, 0.112664, 0, 
26, 1.41539+/-0, 0, 1.26606, 4.31504, 4.31504, 3, 2.06376, 2, 1.66851, 1.31137, 1, 1, 0.513101, 0, 
27, 1.37185+/-0, 0, 1.18491, 4.37475, 4.37475, 2.85659, 2.06113, 2, 1.51882, 1.20979, 1, 1, 0.571281, 0, 
28, 1.34852+/-0, 0, 1.20087, 3.82941, 3.82941, 2.71615, 2.1106, 2, 1.68363, 1.25881, 1, 1, 0.322648, 0, 
29, 1.22576+/-0, 0, 1, 5, 5, 2.54876, 2, 1.96348, 1.36324, 1, 1, 0.55594, 0.036868, 0, 
30, 1.4542+/-0, 0, 1.33166, 4.47493, 4.47493, 3, 2.20277, 2, 1.87173, 1.391, 1.04403, 1, 0.433689, 0, 
31, 1.43435+/-0, 0, 1.3885, 5, 5, 2.77154, 2.14033, 2, 1.86043, 1.4036, 1, 1, 0.483343, 0, 
32, 1.41526+/-0, 0, 1.18978, 5, 5, 3, 2.03371, 2, 1.62895, 1.21939, 1, 1, 0.513348, 0, 
33, 1.43336+/-0, 0, 1.36103, 4.13039, 4.13039, 2.77675, 2.19917, 2, 1.89543, 1.41518, 1, 1, 0.248032, 0, 
34, 1.4131+/-0, 0, 1.31254, 6.30262, 6.30262, 2.91999, 2.17498, 2, 1.67, 1.3359, 1, 1, 0.40183, 0, 
35, 1.43952+/-0, 0, 1.41636, 4, 4, 2.77419, 2.14227, 2, 1.97559, 1.51395, 1.11479, 1, 0.455943, 0, 
36, 1.48679+/-0, 0, 1.36507, 6.47927, 6.47927, 2.71709, 2.19132, 2, 1.92877, 1.39918, 1.11298, 1, 0.684397, 0.0567196, 
37, 1.36434+/-0, 0, 1.19132, 5, 5, 2.88876, 2.1917, 2, 1.70434, 1.20898, 1, 1, 0.189448, 0, 
38, 1.45508+/-0, 0, 1.31401, 5.49022, 5.49022, 2.85608, 2.17015, 2, 1.71936, 1.37499, 1.07351, 1, 1, 0, 
39, 1.34949+/-0, 0, 1.23784, 4, 4, 2.48532, 2, 2, 1.71802, 1.30542, 1, 1, 0.446161, 0, 
0, 0 +/- 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 0.137172 +/- 0, 0, 0, 5.81092, 5.81092, 0.383927, 0.0603601, 0, 0, 0, 0, 0, 0, 0, 
2, 0.267726 +/- 0, 0, 0, 4.44846, 4.44846, 1, 0.135211, 0.0359344, 0, 0, 0, 0, 0, 0, 
3, 0.348292 +/- 0, 0, 0, 7.67446, 7.67446, 1.09942, 0.328252, 0.0652823, 0, 0, 0, 0, 0, 0, 
4, 0.426622 +/- 0, 0, 0, 4.52751, 4.52751, 2, 0.792603, 0.119154, 0.0324331, 0, 0, 0, 0, 0, 
5, 0.655426 +/- 0, 0, 0.0697285, 6, 6, 2.22588, 1.13165, 1, 0.279799, 0.0729387, 0, 0, 0, 0, 
6, 1.00574 +/- 0, 0, 0.382878, 5.41708, 5.41708, 3, 2.03049, 1.29971, 1, 0.44794, 0.0701268, 0, 0, 0, 
7, 1.30511 +/- 0, 0, 1, 5, 5, 3, 2.24388, 2, 1.65132, 1, 0.77137, 0.105702, 0, 0, 
8, 1.58153 +/- 0, 0, 1.0432, 5.39417, 5.39417, 3.66809, 3, 2.26165, 2, 1.10128, 1, 0.620682, 0, 0, 
9, 1.91742 +/- 0, 0, 2, 6, 6, 4, 3.19416, 3, 2.26851, 2, 1.23429, 1, 0.32444, 0, 
10, 2.1466 +/- 0, 0, 2, 6, 6, 4.07523, 3.31545, 3, 2.8876, 2, 2, 1.10971, 1, 0, 
11, 2.45168 +/- 0, 0, 2.31136, 7.19537, 7.19537, 4.13902, 4, 3.15971, 3, 2.46795, 2, 2, 1.1032, 0.0226361, 
12, 2.45213 +/- 0, 0, 2.48029, 6.5567, 6.5567, 4.09267, 4, 3.41038, 3.05097, 2.6764, 2, 1.92015, 1, 0, 
13, 2.81817 +/- 0, 0, 3, 6, 6, 4.68882, 4, 3.80185, 3.11719, 3, 2.78177, 2.13276, 2, 1, 
14, 2.61386 +/- 0, 0, 3, 6.42287, 6.42287, 4.04722, 3.7957, 3.15775, 3, 3, 2.32687, 2, 2, 1, 
15, 2.77013 +/- 0, 0, 3, 6.12863, 6.12863, 4.4741, 4, 3.64203, 3.0901, 3, 2.46139, 2, 2, 1, 
16, 2.73303 +/- 0, 0, 3, 6, 6, 4.4664, 4, 3.76775, 3.16635, 3, 2.41065, 2, 2, 0.348857, 
17, 2.72773 +/- 0, 0, 3, 6.28518, 6.28518, 4.46866, 4, 3.48396, 3, 3, 2.62576, 2.12746, 2, 0.192312, 
18, 2.90539 +/- 0, 0, 3, 6, 6, 4.30037, 4, 3.71869, 3.19439, 3, 3, 2.5307, 2, 1, 
19, 2.81875 +/- 0, 0, 3, 6.09967, 6.09967, 4.67117, 4, 3.71836, 3.14482, 3, 2.66301, 2.03975, 2, 1, 
20, 2.97241 +/- 0, 0, 3, 6.10149, 6.10149, 4.92931, 4, 3.8427, 3.2784, 3, 3, 2.29807, 2, 1.04327, 
21, 2.88332 +/- 0, 0, 3, 6.19715, 6.19715, 4.79283, 4, 3.81473, 3.16367, 3, 2.83319, 2.14933, 2, 1, 
